Time,Biguacu Voltage
0.004,307.1135552
0.004016667,307.6023692
0.004033333,308.4357359
0.00405,309.3905719
0.004066667,310.1910381
0.004083333,310.5978125
0.0041,310.4893449
0.004116667,309.9060229
0.004133333,309.0402485
0.00415,308.174137
0.004166667,307.5852466
0.004183333,307.4526002
0.0042,307.7957764
0.004216667,308.4686166
0.004233333,309.2099978
0.00425,309.7339845
0.004266667,309.8277616
0.004283333,309.4231278
0.0043,308.6169498
0.004316667,307.6343315
0.004333333,306.7486542
0.00435,306.1876685
0.004366667,306.0590932
0.004383333,306.3212798
0.0044,306.8075396
0.004416667,307.2930839
0.004433333,307.5784749
0.00445,307.5584857
0.004466667,307.2519178
0.004483333,306.7834498
0.0045,306.3269226
0.004516667,306.0336116
0.004533333,305.9737303
0.00455,306.1131059
0.004566667,306.3323839
0.004583333,306.4791084
0.0046,306.4303052
0.004616667,306.1396866
0.004633333,305.6505636
0.00465,305.0700643
0.004666667,304.516432
0.004683333,304.0624524
0.0047,303.699831
0.004716667,303.3407973
0.004733333,302.8577008
0.00475,302.1450925
0.004766667,301.1784154
0.004783333,300.0433766
0.0048,298.9207441
0.004816667,298.028792
0.004833333,297.5431391
0.00485,297.5242673
0.004866667,297.8820411
0.004883333,298.3939449
0.0049,298.7739299
0.004916667,298.7691367
0.004933333,298.2499459
0.00495,297.2596725
0.004966667,296.0039019
0.004983333,294.7812135
0.005,293.8788403
0.005016667,293.470441
0.005033333,293.5532413
0.00505,293.9479898
0.005066667,294.3623548
0.005083333,294.4949801
0.0051,294.1421959
0.005116667,293.268201
0.005133333,292.0130193
0.00515,290.6357744
0.005166667,289.415142
0.005183333,288.5450133
0.0052,288.0652103
0.005216667,287.8536765
0.005233333,287.682895
0.00525,287.3183086
0.005266667,286.6198347
0.005283333,285.6057554
0.0053,284.4522939
0.005316667,283.4269698
0.005333333,282.7799949
0.00535,282.6354477
0.005366667,282.9257324
0.005383333,283.3977592
0.0054,283.6926492
0.005416667,283.4724275
0.005433333,282.5479072
0.00545,280.9594138
0.005466667,278.9776571
0.005483333,277.0206014
0.0055,275.5132593
0.005516667,274.7393863
0.005533333,274.7386058
0.00555,275.287409
0.005566667,275.9728688
0.005583333,276.3344138
0.0056,276.0238871
0.005616667,274.9267493
0.005633333,273.2006493
0.00565,271.217048
0.005666667,269.4265373
0.005683333,268.1962004
0.0057,267.6776357
0.005716667,267.7532602
0.005733333,268.0801665
0.00575,268.2154473
0.005766667,267.7774435
0.005783333,266.5845664
0.0058,264.7218234
0.005816667,262.5117224
0.005833333,260.4010223
0.00585,258.8050173
0.005866667,257.9656715
0.005883333,257.8737847
0.0059,258.2810295
0.005916667,258.7944281
0.005933333,259.0160994
0.00595,258.6758688
0.005966667,257.7089839
0.005983333,256.2535163
0.006,254.5732647
0.006016667,252.940029
0.006033333,251.5233618
0.00605,250.3311139
0.006066667,249.2224667
0.006083333,247.985395
0.0061,246.4444192
0.006116667,244.5523934
0.006133333,242.4267182
0.00615,240.313151
0.006166667,238.4902856
0.006183333,237.1528512
0.0062,236.3220619
0.006216667,235.8219483
0.006233333,235.3351773
0.00625,234.5200359
0.006266667,233.1445587
0.006283333,231.1846719
0.0063,228.844936
0.006316667,226.4891589
0.006333333,224.5031845
0.00635,223.1400559
0.006366667,222.4073162
0.006383333,222.0429763
0.0064,221.5948288
0.006416667,220.578827
0.006433333,218.6608181
0.00645,215.7943101
0.006466667,212.260309
0.006483333,208.5894599
0.0065,205.3896156
0.006516667,203.1377625
