# Oscilloscope Data

# Seconds	Mcl_Quantities.Speed_Rot_Mech	Mcl_IO.Speed_Rot_Ref	Mcl_Quantities.Torque_Ref	Mcl_Quantities.Torque	Mcl_Quantities.IsRMS	Mcl_Quantities.Stator_Flux_Mag	Mcl_IO.Vdc	SR_Overheating_Temp	ThermalModelCore_Y.WindingTemperature
1549.453	0	0	0	0	0.00431405	0.0931	321.617	73.9341	76.8926
1549.597	0	0	0	0	0.00431405	0.0931	321.617	73.9341	76.8872
1549.739	0	0	0	0	0.00440428	0.0931	321.833	73.9341	76.8808
1549.882	0	0	0	0	0.00440428	0.0931	321.617	73.9341	76.8744
1550.026	0	0	0	0	0.00453567	0.0931	321.617	73.9341	76.868
1550.168	0	0	0	0	0.00453567	0.0931	321.508	73.9341	76.8627
1550.312	0	0	0	0	0.00460566	0.0931	321.725	73.9341	76.8563
1550.455	0	0	0	0	0.00445342	0.0931	321.833	73.8532	76.8499
1550.598	0	0	0	0	0.00445342	0.0931	321.617	73.8532	76.8434
1550.741	0	0	0	0	0.00422314	0.0931	321.941	73.8532	76.8381
1550.884	0	0	0	0	0.00422314	0.0931	320.642	73.8532	76.8317
1551.043	0	0	0	0	0.00435398	0.0931	318.91	73.8532	76.8253
1551.202	0	0	0	0	0.00435398	0.0931	317.286	73.8532	76.8178
1551.361	0	0	0	0	0.00444753	0.0931	315.879	73.7726	76.8114
1551.504	0	0	0	0	0.00418197	0.0931	314.364	73.7726	76.805
1551.679	0	0	0	0	0.00418197	0.0931	312.848	73.7726	76.7975
1551.838	0	0	0	0	0.00419824	0.0931	311.224	73.7726	76.7911
1551.997	0	0	0	0	0.00417506	0.0931	309.709	73.7726	76.7847
1552.156	0	0	0	0	0.00417506	0.0931	308.41	73.7726	76.7772
1552.315	0	0	0	0	0.00418698	0.0931	306.57	73.7726	76.7708
1552.474	0	0	0	0	0.00418698	0.0931	304.837	73.6923	76.7633
1552.633	0	0	0	0	0.00422811	0.0931	303.538	73.6923	76.7569
1552.792	0	0	0	0	0.00438817	0.0931	302.023	73.6923	76.7506
1552.951	0	0	0	0	0.00438817	0.0931	300.507	73.6923	76.7433
1553.095	0	0	0	0	0.0044304	0.0931	299.1	73.6923	76.7381
1553.238	0	0	0	0	0.0044304	0.0931	297.693	73.6923	76.7319
1553.381	0	0	0	0	0.00444635	0.0931	296.394	73.6122	76.7256
1553.524	0	0	0	0	0.00444635	0.0931	319.993	73.6122	76.7194
