# Time [sec]	Mcl_IO.Speed_Rot_Ref	Mcl_Quantities.Speed_Rot_Mech	Mcl_Quantities.Torque	Mcl_Quantities.Torque_Ref	Mcl_Quantities.IsRMS	Rotor_Curr_Id	Rotor_Curr_Iq	Mcl_Quantities.Flux_Ref
1108.39	0	0	0	0	0.00427191	-3.13007	0.0384701	0.0348544
1108.45	0	0	0	0	0.00427866	-3.13007	0.0384701	0.0348544
1108.52	0	0	0	0	0.00427866	-3.13007	0.0384701	0.0348544
1108.56	0	0	0	0	0.00427866	-3.13007	0.0384701	0.0348544
1108.61	0	0	0	0	0.00427866	-3.13007	0.0384701	0.0348544
1108.64	0	0	0	0	0.00427866	-3.13007	0.0384701	0.0348544
1108.72	0	0	0	0	0.00431466	-3.13007	0.0384701	0.0348544
1108.77	0	0	0	0	0.00431466	-3.13007	0.0384701	0.0348544
1108.81	0	0	0	0	0.00431466	-3.13007	0.0384701	0.0348544
1108.86	0	0	0	0	0.00431466	-3.13007	0.0384701	0.0348544
1108.91	0	0	0	0	0.00431466	-3.13007	0.0384701	0.0348544
1108.97	0	0	0	0	0.00445989	-3.13007	0.0384701	0.0348544
1109.02	0	0	0	0	0.00445989	-3.13007	0.0384701	0.0348544
1109.06	0	0	0	0	0.00445989	-3.13007	0.0384701	0.0348544
1109.11	0	0	0	0	0.00445989	-3.13007	0.0384701	0.0348544
1109.16	0	0	0	0	0.00445989	-3.13007	0.0384701	0.0348544
1109.22	0	0	0	0	0.0043612	-3.13007	0.0384701	0.0348544
1109.25	0	0	0	0	0.0043612	-3.13007	0.0384701	0.0348544
1109.3	0	0	0	0	0.0043612	-3.13007	0.0384701	0.0348544
1109.36	0	0	0	0	0.0043612	-3.13007	0.0384701	0.0348544
1109.39	0	0	0	0	0.0043612	-3.13007	0.0384701	0.0348544
1109.47	0	0	0	0	0.0043822	-3.13007	0.0384701	0.0348544
1109.5	0	0	0	0	0.0043822	-3.13007	0.0384701	0.0348544
1109.55	0	0	0	0	0.0043822	-3.13007	0.0384701	0.0348544
1109.61	0	0	0	0	0.0043822	-3.13007	0.0384701	0.0348544
1109.66	0	0	0	0	0.0043822	-3.13007	0.0384701	0.0348544
1109.72	0	0	0	0	0.00416123	-3.13007	0.0384701	0.0348544
1109.77	0	0	0	0	0.00416123	-3.13007	0.0384701	0.0348544
1109.81	0	0	0	0	0.00416123	-3.13007	0.0384701	0.0348544
1109.86	0	0	0	0	0.00416123	-3.13007	0.0384701	0.0348544
1109.89	0	0	0	0	0.00416123	-3.13007	0.0384701	0.0348544
1109.97	0	0	0	0	0.00404168	-3.13007	0.0384701	0.0348544
1110	0	0	0	0	0.00404168	-3.13007	0.0384701	0.0348544
1110.05	0	0	0	0	0.00404168	-3.13007	0.0384701	0.0348544
1110.11	0	0	0	0	0.00404168	-3.13007	0.0384701	0.0348544
1110.14	0	0	0	0	0.00404168	-3.13007	0.0384701	0.0348544
1110.22	0	0	0	0	0.00420011	-3.13007	0.0384701	0.0348544
1110.25	0	0	0	0	0.00420011	-3.13007	0.0384701	0.0348544
1110.31	0	0	0	0	0.00420011	-3.13007	0.0384701	0.0348544
1110.36	0	0	0	0	0.00420011	-3.13007	0.0384701	0.0348544
1110.41	0	0	0	0	0.00420011	-3.13007	0.0384701	0.0348544
1110.47	0	0	0	0	0.00407977	-3.13007	0.0384701	0.0348544
1110.52	0	0	0	0	0.00407977	-3.13007	0.0384701	0.0348544
1110.56	0	0	0	0	0.00407977	-3.13007	0.0384701	0.0348544
1110.61	0	0	0	0	0.00407977	-3.13007	0.0384701	0.0348544
1110.64	0	0	0	0	0.00407977	-3.13007	0.0384701	0.0348544
1110.72	0	0	0	0	0.00433407	-3.13007	0.0384701	0.0348544
1110.77	0	0	0	0	0.00433407	-3.13007	0.0384701	0.0348544
1110.81	0	0	0	0	0.00433407	-3.13007	0.0384701	0.0348544
1110.86	0	0	0	0	0.00433407	-3.13007	0.0384701	0.0348544
1110.89	0	0	0	0	0.00433407	-3.13007	0.0384701	0.0348544
1110.97	0	0	0	0	0.00410668	-3.13007	0.0384701	0.0348544
1111	0	0	0	0	0.00410668	-3.13007	0.0384701	0.0348544
1111.05	0	0	0	0	0.00410668	-3.13007	0.0384701	0.0348544
1111.11	0	0	0	0	0.00410668	-3.13007	0.0384701	0.0348544
1111.16	0	0	0	0	0.00410668	-3.13007	0.0384701	0.0348544
1111.22	0	0	0	0	0.00411879	-3.13007	0.0384701	0.0348544
1111.27	0	0	0	0	0.00411879	-3.13007	0.0384701	0.0348544
1111.3	0	0	0	0	0.00411879	-3.13007	0.0384701	0.0348544
1111.36	0	0	0	0	0.00411879	-3.13007	0.0384701	0.0348544
1111.41	0	0	0	0	0.00411879	-3.13007	0.0384701	0.0348544
1111.47	0	0	0	0	0.00411879	-3.13007	0.0384701	0.0348544
1111.52	0	0	0	0	0.00417632	-3.13007	0.0384701	0.0348544
1111.56	0	0	0	0	0.00417632	-3.13007	0.0384701	0.0348544
1111.61	0	0	0	0	0.00417632	-3.13007	0.0384701	0.0348544
1111.64	0	0	0	0	0.00417632	-3.13007	0.0384701	0.0348544
1111.72	0	0	0	0	0.00417632	-3.13007	0.0384701	0.0348544
1111.75	0	0	0	0	0.00428478	-3.13007	0.0384701	0.0348544
1111.8	0	0	0	0	0.00428478	-3.13007	0.0384701	0.0348544
1111.86	0	0	0	0	0.00428478	-3.13007	0.0384701	0.0348544
1111.89	0	0	0	0	0.00428478	-3.13007	0.0384701	0.0348544
1111.97	0	0	0	0	0.00428478	-3.13007	0.0384701	0.0348544
1112	0	0	0	0	0.0042442	-3.13007	0.0384701	0.0348544
1112.05	0	0	0	0	0.0042442	-3.13007	0.0384701	0.0348544
1112.11	0	0	0	0	0.0042442	-3.13007	0.0384701	0.0348544
1112.16	0	0	0	0	0.0042442	-3.13007	0.0384701	0.0348544
1112.23	0	0	0	0	0.0042442	-3.13007	0.0384701	0.0348544
1112.27	0	0	0	0	0.00535092	-3.13007	0.0384701	0.0348544
1112.31	0	0	0	0	0.00535092	-3.13007	0.0384701	0.0348544
1112.36	0	0	0	0	0.00535092	-3.13007	0.0384701	0.0348544
1112.41	0	0	0	0	0.00535092	-3.13007	0.0384701	0.0348544
1112.47	0	0	0	0	0.00535092	-3.13007	0.0384701	0.0348544
1112.5	0	0	0	0	0.00602661	-3.13007	0.0384701	0.0348544
1112.56	0	0	0	0	0.00602661	-3.13007	0.0384701	0.0348544
1112.61	0	0	0	0	0.00602661	-3.13007	0.0384701	0.0348544
1112.64	0	0	0	0	0.00602661	-3.13007	0.0384701	0.0348544
1112.72	0	0	0	0	0.00602661	-3.13007	0.0384701	0.0348544
1112.75	0	0	0	0	0.00531206	-3.13007	0.0384701	0.0348544
1112.8	0	0	0	0	0.00531206	-3.13007	0.0384701	0.0348544
1112.86	0	0	0	0	0.00531206	-3.13007	0.0384701	0.0348544
1112.89	0	0	0	0	0.00531206	-3.13007	0.0384701	0.0348544
1112.97	0	0	0	0	0.00531206	-3.13007	0.0384701	0.0348544
1113.02	0	0	0	0	0.00531206	-3.13007	0.0384701	0.0348544
1113.05	0	0	0	0	0.00453625	-3.13007	0.0384701	0.0348544
1113.11	0	0	0	0	0.00453625	-3.13007	0.0384701	0.0348544
1113.16	0	0	0	0	0.00453625	-3.13007	0.0384701	0.0348544
1113.22	0	0	0	0	0.00453625	-3.13007	0.0384701	0.0348544
1113.27	0	0	0	0	0.00453625	-3.13007	0.0384701	0.0348544
1113.31	0	0	0	0	0.00451888	-3.13007	0.0384701	0.0348544
1113.36	0	0	0	0	0.00451888	-3.13007	0.0384701	0.0348544
1113.39	0	0	0	0	0.00451888	-3.13007	0.0384701	0.0348544
1113.47	0	0	0	0	0.00451888	-3.13007	0.0384701	0.0348544
1113.5	0	0	0	0	0.00451888	-3.13007	0.0384701	0.0348544
1113.55	0	0	0	0	0.0047624	-3.13007	0.0384701	0.0348544
1113.61	0	0	0	0	0.0047624	-3.13007	0.0384701	0.0348544
1113.64	0	0	0	0	0.0047624	-3.13007	0.0384701	0.0348544
1113.72	0	0	0	0	0.0047624	-3.13007	0.0384701	0.0348544
1113.75	0	0	0	0	0.0047624	-3.13007	0.0384701	0.0348544
1113.83	0	0	0	0	0.00438997	-3.13007	0.0384701	0.0348544
1113.86	0	0	0	0	0.00438997	-3.13007	0.0384701	0.0348544
1113.91	0	0	0	0	0.00438997	-3.13007	0.0384701	0.0348544
1113.97	0	0	0	0	0.00438997	-3.13007	0.0384701	0.0348544
1114.02	0	0	0	0	0.00438997	-3.13007	0.0384701	0.0348544
1114.05	0	0	0	0	0.00458855	-3.13007	0.0384701	0.0348544
1114.11	0	0	0	0	0.00458855	-3.13007	0.0384701	0.0348544
1114.16	0	0	0	0	0.00458855	-3.13007	0.0384701	0.0348544
1114.22	0	0	0	0	0.00458855	-3.13007	0.0384701	0.0348544
1114.25	0	0	0	0	0.00458855	-3.13007	0.0384701	0.0348544
1114.31	0	0	0	0	0.00457997	-3.13007	0.0384701	0.0348544
1114.36	0	0	0	0	0.00457997	-3.13007	0.0384701	0.0348544
1114.39	0	0	0	0	0.00457997	-3.13007	0.0384701	0.0348544
1114.47	0	0	0	0	0.00457997	-3.13007	0.0384701	0.0348544
1114.5	0	0	0	0	0.00457997	-3.13007	0.0384701	0.0348544
1114.55	0	0	0	0	0.00448451	-3.13007	0.0384701	0.0348544
1114.61	0	0	0	0	0.00448451	-3.13007	0.0384701	0.0348544
1114.64	0	0	0	0	0.00448451	-3.13007	0.0384701	0.0348544
1114.72	0	0	0	0	0.00448451	-3.13007	0.0384701	0.0348544
1114.75	0	0	0	0	0.00448451	-3.13007	0.0384701	0.0348544
1114.8	0	0	0	0	0.0045954	-3.13007	0.0384701	0.0348544
1114.88	0	0	0	0	0.0045954	-3.13007	0.0384701	0.0348544
1114.91	0	0	0	0	0.0045954	-3.13007	0.0384701	0.0348544
1114.97	0	0	0	0	0.0045954	-3.13007	0.0384701	0.0348544
1115.02	0	0	0	0	0.0045954	-3.13007	0.0384701	0.0348544
1115.06	0	0	0	0	0.0045954	-3.13007	0.0384701	0.0348544
1115.11	0	0	0	0	0.00471481	-3.13007	0.0384701	0.0348544
1115.14	0	0	0	0	0.00471481	-3.13007	0.0384701	0.0348544
1115.22	0	0	0	0	0.00471481	-3.13007	0.0384701	0.0348544
1115.25	0	0	0	0	0.00471481	-3.13007	0.0384701	0.0348544
1115.31	0	0	0	0	0.00471481	-3.13007	0.0384701	0.0348544
