Time,Voltage_Raw,Voltage
188,302.5840315,0.9725419116
189,302.9303671,0.9736550764
190,302.9583141,0.9737449014
191,302.8348693,0.9733481348
192,302.7088647,0.9729431407
193,302.6597215,0.9727851885
194,302.6813569,0.9728547273
195,302.7048252,0.9729301573
196,302.6474601,0.9727457788
197,302.4660677,0.9721627616
198,302.1908894,0.971278305
199,301.9256189,0.9704256934
200,301.8130284,0.9700638138
201,301.979956,0.9706003394
202,302.4838852,0.9722200292
203,303.2828924,0.9747881356
204,304.241646,0.9778696864
205,305.1721249,0.9808603588
206,305.8943105,0.9831815513
207,306.2944996,0.9844678078
208,306.3599365,0.9846781299
209,306.1776141,0.9840921235
210,305.8986698,0.9831955626
211,305.6825094,0.9825007968
212,305.6417929,0.982369929
213,305.8081996,0.9829047804
214,306.1301835,0.9839396758
215,306.5013357,0.9851326042
216,306.8064887,0.9861134031
217,306.9667243,0.9866284198
218,306.9661005,0.9866264148
219,306.8512084,0.9862571376
220,306.7060606,0.9857906149
221,306.6145941,0.9854966304
222,306.6273562,0.9855376494
223,306.7461601,0.9859194996
224,306.9320304,0.9865169094
225,307.1312827,0.9871573305
226,307.3066,0.9877208217
227,307.4578642,0.9882070032
228,307.6222155,0.9887352483
229,307.8523609,0.9894749636
230,308.1824843,0.9905360204
231,308.597716,0.9918706256
232,309.0229391,0.9932373445
233,309.3394532,0.9942546593
234,309.426365,0.9945340044
235,309.2122225,0.9938457243
236,308.7161726,0.9922513596
237,308.0597982,0.9901416924
238,307.4406357,0.9881516287
239,307.0727835,0.986969307
240,307.1135552,0.9871003522
241,307.6023692,0.9886714599
242,308.4357359,0.9913500019
243,309.3905719,0.994418961
244,310.1910381,0.9969917568
245,310.5978125,0.9982991793
246,310.4893449,0.9979505512
247,309.9060229,0.9960756833
248,309.0402485,0.993292979
249,308.174137,0.9905091912
250,307.5852466,0.9886164257
251,307.4526002,0.9881900841
252,307.7957764,0.9892930942
253,308.4686166,0.9914556845
254,309.2099978,0.9938385739
255,309.7339845,0.9955227309
256,309.8277616,0.9958241419
257,309.4231278,0.9945235997
258,308.6169498,0.9919324454
259,307.6343315,0.9887741906
260,306.7486542,0.9859275159
261,306.1876685,0.9841244396
262,306.0590932,0.9837111829
263,306.3212798,0.9845538826
264,306.8075396,0.9861167808
265,307.2930839,0.9876773793
266,307.5784749,0.9885946607
267,307.5584857,0.988530413
268,307.2519178,0.9875450664
269,306.7834498,0.9860393532
270,306.3269226,0.9845720192
271,306.0336116,0.983629282
272,305.9737303,0.9834368162
273,306.1131059,0.9838847863
274,306.3323839,0.9845895725
275,306.4791084,0.9850611629
276,306.4303052,0.9849043035
277,306.1396866,0.9839702199
278,305.6505636,0.9823981191
279,305.0700643,0.9805323237
280,304.516432,0.978752882
281,304.0624524,0.9772937363
282,303.699831,0.976128227
283,303.3407973,0.974974249
284,302.8577008,0.973421518
285,302.1450925,0.9711311082
286,301.1784154,0.9680240903
287,300.0433766,0.9643759375
288,298.9207441,0.96076766
289,298.028792,0.9579008173
290,297.5431391,0.9563398698
291,297.5242673,0.9562792135
292,297.8820411,0.9574291421
293,298.3939449,0.9590744632
294,298.7739299,0.9602957812
295,298.7691367,0.9602803753
296,298.2499459,0.9586116329
297,297.2596725,0.9554287736
298,296.0039019,0.9513925741
299,294.7812135,0.9474627047
300,293.8788403,0.9445623674
301,293.470441,0.9432497223
302,293.5532413,0.9435158526
303,293.9479898,0.9447846223
304,294.3623548,0.9461164418
305,294.4949801,0.9465427157
306,294.1421959,0.9454088243
307,293.268201,0.9425996983
308,292.0130193,0.9385653916
309,290.6357744,0.9341387588
310,289.415142,0.9302154977
311,288.5450133,0.9274187981
312,288.0652103,0.9258766529
313,287.8536765,0.9251967575
314,287.682895,0.9246478449
315,287.3183086,0.9234760199
316,286.6198347,0.9212310397
317,285.6057554,0.9179716654
318,284.4522939,0.9142642997
319,283.4269698,0.9109687833
320,282.7799949,0.9088893272
321,282.6354477,0.9084247349
322,282.9257324,0.9093577452
323,283.3977592,0.9108748968
324,283.6926492,0.9118227092
325,283.4724275,0.9111148898
326,282.5479072,0.9081433691
327,280.9594138,0.9030377579
328,278.9776571,0.8966681506
329,277.0206014,0.8903779354
330,275.5132593,0.8855331544
331,274.7393863,0.8830458323
332,274.7386058,0.8830433237
333,275.287409,0.884807244
334,275.9728688,0.8870103952
335,276.3344138,0.8881724449
336,276.0238871,0.8871743743
337,274.9267493,0.8836480398
338,273.2006493,0.8781001443
339,271.217048,0.8717246082
340,269.4265373,0.8659696889
341,268.1962004,0.8620152363
342,267.6776357,0.8603485063
343,267.7532602,0.8605915726
344,268.0801665,0.8616422892
345,268.2154473,0.8620770982
346,267.7774435,0.8606693007
347,266.5845664,0.8568352485
348,264.7218234,0.8508481657
349,262.5117224,0.843744632
350,260.4010223,0.836960585
351,258.8050173,0.8318308306
352,257.9656715,0.829133071
353,257.8737847,0.8288377357
354,258.2810295,0.8301466701
355,258.7944281,0.8317967956
356,259.0160994,0.8325092742
357,258.6758688,0.8314157316
358,257.7089839,0.8283080459
359,256.2535163,0.8236299958
360,254.5732647,0.8182294626
361,252.940029,0.8129800443
362,251.5233618,0.8084267034
363,250.3311139,0.8045946735
364,249.2224667,0.8010313465
365,247.985395,0.7970552475
366,246.4444192,0.7921023636
367,244.5523934,0.7860211624
368,242.4267182,0.7791889835
369,240.313151,0.7723957213
370,238.4902856,0.76653681
371,237.1528512,0.762238133
372,236.3220619,0.7595678751
373,235.8219483,0.7579604491
374,235.3351773,0.7563959078
375,234.5200359,0.7537759441
376,233.1445587,0.749354993
377,231.1846719,0.7430556782
378,228.844936,0.7355354822
379,226.4891589,0.7279637278
380,224.5031845,0.7215805644
381,223.1400559,0.7171993031
382,222.4073162,0.7148441885
383,222.0429763,0.7136731557
384,221.5948288,0.7122327551
385,220.578827,0.7089672016
386,218.6608181,0.7028024875
387,215.7943101,0.6935891819
388,212.260309,0.6822304721
389,208.5894599,0.6704319163
390,205.3896156,0.6601472272
391,203.1377625,0.6529094972
392,202.0103665,0.6492859092
393,201.8144609,0.6486562447
394,202.0468136,0.6494030546
395,202.0626885,0.6494540785
396,201.2957109,0.6469889191
397,199.4510201,0.6410598583
398,196.6026763,0.6319049346
399,193.1603679,0.6208409364
400,189.7175989,0.6097754577
401,186.836546,0.600515403
402,184.8477835,0.5941232782
403,183.7374932,0.59055467
404,183.1624923,0.5887065471
405,182.5862597,0.5868544654
406,181.4844972,0.5833132666
407,179.5432122,0.5770737403
408,176.775385,0.5681776067
409,173.5129086,0.5576916104
410,170.2773047,0.5472919856
411,167.5782648,0.5386169428
412,165.7162755,0.5326322825
413,164.6642078,0.5292508089
414,164.0731834,0.5273511845
415,163.4012922,0.5251916444
416,162.1173239,0.521064814
417,159.903085,0.5139479806
418,156.7779479,0.5039034095
419,153.0981455,0.4920760767
420,149.4302393,0.4802869797
421,146.3455293,0.4703723462
422,144.212077,0.4635151708
423,143.0620806,0.4598189424
424,142.5840547,0.4582825089
425,142.2421978,0.4571837393
426,141.4772724,0.4547251759
427,139.9125342,0.4496959168
428,137.4865449,0.4418984919
429,134.4628944,0.4321801111
430,131.314311,0.4220601808
431,128.5272636,0.4131022712
432,126.4042087,0.4062785143
433,124.9419207,0.4015785426
434,123.834997,0.3980207551
435,122.6046035,0.3940661206
436,120.8026078,0.3882742871
437,118.2099229,0.3799410822
438,114.9478655,0.3694564326
439,111.4534647,0.3582250031
440,108.3223053,0.3481610756
441,106.075689,0.3409401773
442,104.9418323,0.3372958239
443,104.7398168,0.3366465215
444,104.9190383,0.3372225612
445,104.748461,0.336674305
446,103.5907136,0.3329531639
447,101.158896,0.3251370061
448,97.6543319,0.3138729104
449,93.72319736,0.3012377655
450,90.2358528,0.2900290156
451,87.96110097,0.2827176863
452,87.2526735,0.2804407141
453,87.8686977,0.2824206909
454,89.00308366,0.2860667455
455,89.53376621,0.2877724238
456,88.41220745,0.2841675974
457,85.06088689,0.2733960452
458,79.63313365,0.2559505855
459,73.02962711,0.2347261116
460,66.6466039,0.214210298
461,61.92541438,0.1990358202
462,59.848494,0.1923603452
463,60.55530571,0.1946321241
464,63.22099866,0.2031999858
465,66.25835045,0.2129624042
466,67.79617514,0.2179051599
467,66.29065473,0.213066234
468,61.07344004,0.1962974709
469,52.65133543,0.1692278015
470,42.64541692,0.1370675613
471,33.37010178,0.1072555694
472,27.1688223,0.08732390221
473,25.70457587,0.08261763593
474,29.42356623,0.09457092367
475,37.36115128,0.1200832883
476,47.35645584,0.1522094139
477,56.61777902,0.181976434
478,62.47454324,0.2008007872
479,63.09619185,0.2027988415
480,57.9707112,0.1863249227
481,48.01027675,0.1543108739
482,35.26435089,0.1133439166
483,22.33570507,0.07178967508
484,11.67713119,0.03753172113
485,4.972462126,0.01598209858
486,2.769828435,0.008902565769
487,4.451903026,0.01430895827
488,8.52505164,0.02740055375
489,13.11893348,0.04216584921
490,16.5363713,0.05314991037
491,17.69280031,0.05686681399
492,16.33138416,0.05249105675
493,12.97603141,0.04170654456
494,8.664785488,0.02784967535
495,4.56612722,0.01467608873
496,1.604644372,0.005157522349
497,0.2066421,0.0006641728645
498,0.229159942,0.0007365479498
499,1.074500309,0.003453574795
500,1.936237508,0.006223303054
501,2.087767443,0.006710338711
502,1.119047977,0.003596756423
503,-0.949711796,-0.003052489323
504,-3.705994152,-0.01191151635
505,-6.514571761,-0.02093862668
506,-8.758560403,-0.02815107934
507,-10.07084631,-0.03236892599
508,-10.47855002,-0.03367933535
509,-10.41010466,-0.03345934363
510,-10.55708882,-0.03393176861
511,-11.62944412,-0.03737844908
512,-14.07997796,-0.04525476316
513,-17.89067552,-0.057502809
514,-22.50263731,-0.07232621562
515,-26.93373797,-0.08656831255
516,-30.07155078,-0.0966536249
517,-31.06863096,-0.09985836197
518,-29.72131713,-0.09552793131
519,-26.69871591,-0.08581292304
520,-23.51532927,-0.07558113086
521,-22.20717744,-0.07137657163
522,-24.76239999,-0.07958936796
523,-32.44759207,-0.1042905108
524,-45.23073726,-0.1453770956
525,-61.50569891,-0.1976868035
526,-78.26115825,-0.2515408896
527,-91.71813431,-0.2947932488
528,-98.31458455,-0.3159950428
529,-95.78641168,-0.3078691875
530,-84.02595349,-0.2700696432
531,-65.42261007,-0.2102762328
532,-44.51078731,-0.1430630888
533,-26.94195071,-0.0865947093
534,-18.00797589,-0.05787982667
535,-21.10734177,-0.0678415659
536,-36.60653507,-0.1176578599
537,-61.47576427,-0.19759059
538,-89.87996097,-0.2888851359
539,-114.633165,-0.3684449469
540,-129.1553964,-0.4151211665
541,-129.3904382,-0.4158766194
542,-115.1141251,-0.3699908112
543,-90.20631647,-0.2899340822
544,-61.74347478,-0.1984510441
545,-38.11413139,-0.122503458
546,-26.66355968,-0.08569992664
547,-31.54055944,-0.1013751976
548,-52.38986614,-0.1683874073
549,-84.30796174,-0.2709760521
550,-119.118696,-0.3828619896
551,-147.6335569,-0.4745122237
552,-162.2584542,-0.521518424
553,-159.189883,-0.5116556626
554,-139.5495878,-0.4485293629
555,-109.111103,-0.3506963674
556,-76.68477506,-0.2464742021
557,-51.62588068,-0.1659318651
558,-41.19194442,-0.1323959238
559,-48.51987351,-0.1559487799
560,-71.80686881,-0.2307960176
561,-104.918178,-0.3372197961
562,-139.2201267,-0.4474704349
563,-166.0781046,-0.5337952453
564,-179.2745634,-0.5762102703
565,-176.6449622,-0.567758412
566,-160.4824118,-0.5158100075
567,-136.6425558,-0.4391858082
568,-112.6693132,-0.3621328882
569,-95.54032976,-0.3070782502
570,-89.71693279,-0.2883611435
571,-96.05786524,-0.3087416723
572,-111.8662964,-0.3595518944
573,-131.9821047,-0.424206551
574,-150.5199192,-0.4837893435
575,-162.6822232,-0.5228804691
576,-166.0918545,-0.5338394392
577,-161.2745141,-0.5183559207
578,-151.2111302,-0.4860109798
579,-140.1749063,-0.4505392127
580,-132.2750452,-0.4251480975
581,-130.1883861,-0.4184413211
582,-134.4624455,-0.4321786683
583,-143.5605907,-0.4614212145
584,-154.568719,-0.4968026789
585,-164.2768216,-0.5280057025
586,-170.2517462,-0.5472098375
587,-171.5529595,-0.5513920954
588,-168.8896448,-0.5428318778
589,-164.2184263,-0.5278180129
590,-159.9658428,-0.5141496918
591,-158.1682718,-0.5083720798
592,-159.8240986,-0.5136941087
593,-164.656178,-0.5292250001
594,-171.3274021,-0.5506671265
595,-177.9954958,-0.5720991914
596,-182.9882263,-0.588146435
597,-185.358527,-0.59576487
598,-185.1412345,-0.5950664654
599,-183.2510307,-0.5889911203
600,-181.0896277,-0.582044108
601,-180.0240156,-0.5786191009
602,-180.9271379,-0.581521846
603,-183.932843,-0.591182548
604,-188.4681305,-0.6057595142
605,-193.5230041,-0.6220064932
606,-198.0390994,-0.6365217733
607,-201.2686382,-0.6469019041
608,-202.9812912,-0.6524065794
609,-203.4638612,-0.6539576181
610,-203.338256,-0.6535539077
611,-203.2864665,-0.6533874499
612,-203.795553,-0.6550237159
613,-205.0154584,-0.6589446404
614,-206.7692993,-0.6645816985
615,-208.6925781,-0.6707633507
616,-210.4294946,-0.6763460118
617,-211.7986632,-0.6807466863
618,-212.8608395,-0.6841606503
619,-213.8672256,-0.6873952977
620,-215.1186918,-0.6914176624
621,-216.8027417,-0.6968304038
622,-218.8822983,-0.7035143519
623,-221.086606,-0.7105992651
624,-223.0103862,-0.7167825289
625,-224.2812711,-0.7208673077
626,-224.7261901,-0.7222973315
627,-224.4664563,-0.7214625154
628,-223.8989631,-0.7196385232
629,-223.566003,-0.7185683489
630,-223.9608508,-0.7198374378
631,-225.3428138,-0.7242792351
632,-227.6334783,-0.7316417097
633,-230.4360619,-0.7406495545
634,-233.1735221,-0.7494480849
635,-235.2960672,-0.7562702032
636,-236.4821181,-0.7600823152
637,-236.7586295,-0.7609710565
638,-236.4962551,-0.7601277532
639,-236.2809271,-0.7594356628
640,-236.7087195,-0.7608106397
641,-238.1785413,-0.7655348258
642,-240.7571797,-0.7738228836
643,-244.1638505,-0.7847723382
644,-247.8772026,-0.7967075039
645,-251.323248,-0.8077835133
646,-254.0743163,-0.8166257817
647,-255.986972,-0.82277329
648,-257.2311045,-0.8267720833
649,-258.203555,-0.8298976576
650,-259.3621244,-0.8336214407
651,-261.0439307,-0.8390269708
652,-263.3358828,-0.8463935839
653,-266.0437552,-0.8550970154
654,-268.7685379,-0.8638547987
655,-271.0588195,-0.8712160426
